BIB_NO,Gender,Event,Time,Status
1208,M,그란폰도,05:50:34,
1209,M,그란폰도,05:40:03,
1210,M,메디오폰도,03:59:00,
1211,M,메디오폰도,04:34:08,
1212,M,메디오폰도,04:03:11,
1213,M,그란폰도,,DNF
1215,M,메디오폰도,04:23:43,
1216,M,메디오폰도,03:57:50,
1217,M,메디오폰도,05:15:51,
1218,M,메디오폰도,04:21:14,
1220,M,그란폰도,05:56:30,
1223,M,그란폰도,05:37:37,
1224,F,메디오폰도,03:55:38,
1225,M,그란폰도,06:31:42,
1227,M,그란폰도,,DNF
1228,M,메디오폰도,05:00:56,
1230,F,메디오폰도,04:16:33,
1231,M,메디오폰도,04:06:27,
1232,M,그란폰도,05:59:20,
1235,F,그란폰도,06:35:37,
1238,M,그란폰도,05:18:27,
1239,M,그란폰도,05:34:48,
1241,M,그란폰도,03:55:40,
1242,M,그란폰도,04:21:45,
1243,M,그란폰도,05:22:33,
1244,M,메디오폰도,04:07:27,
1245,M,메디오폰도,04:08:16,
1246,M,메디오폰도,04:41:20,
1247,M,메디오폰도,03:58:54,
1248,M,그란폰도,05:56:24,
1249,M,그란폰도,,DNF
1250,M,메디오폰도,04:11:04,
1252,M,그란폰도,06:10:25,
1253,F,그란폰도,06:36:17,
1255,M,그란폰도,05:38:05,
1256,M,그란폰도,04:35:37,
1257,M,그란폰도,04:31:59,
1258,M,메디오폰도,04:08:30,
1259,M,메디오폰도,04:22:57,
1260,M,그란폰도,05:20:29,
1261,M,메디오폰도,04:23:44,
1263,M,그란폰도,04:00:10,
1264,M,그란폰도,,DNF
1265,M,그란폰도,05:23:15,
1266,F,그란폰도,05:18:39,
1269,M,그란폰도,05:14:10,
1270,M,그란폰도,06:20:45,
1272,M,그란폰도,05:33:08,
1275,M,그란폰도,04:42:37,
1277,M,메디오폰도,02:50:40,
1279,M,그란폰도,05:08:56,
1280,M,그란폰도,06:00:20,
1281,M,메디오폰도,03:09:21,
1282,M,메디오폰도,04:08:40,
1283,M,그란폰도,04:18:08,
1284,M,그란폰도,05:32:59,
1285,M,그란폰도,,DNF
1286,M,그란폰도,05:55:44,
1287,M,메디오폰도,02:50:47,
1288,M,그란폰도,05:44:21,
1290,M,메디오폰도,05:28:02,
1293,F,메디오폰도,04:21:04,
1294,M,그란폰도,05:26:00,
1295,M,그란폰도,04:31:10,
1296,M,메디오폰도,04:58:17,
1297,M,메디오폰도,03:12:12,
1299,M,그란폰도,05:04:40,
1302,M,메디오폰도,04:16:45,
1305,M,메디오폰도,,DNF
1306,M,그란폰도,05:21:22,
1307,M,메디오폰도,04:13:50,
1310,M,그란폰도,04:47:59,
1311,M,그란폰도,05:45:29,
1312,F,메디오폰도,04:50:59,
1314,M,그란폰도,04:35:26,
1316,F,그란폰도,05:53:09,
1317,M,메디오폰도,04:26:55,
1319,M,메디오폰도,04:32:25,
1321,M,메디오폰도,03:55:33,
1322,M,그란폰도,05:14:11,
1323,M,그란폰도,05:50:11,
1324,M,그란폰도,05:32:51,
1325,M,그란폰도,06:23:35,
1326,M,그란폰도,05:53:07,
1327,M,그란폰도,06:46:41,
1328,M,그란폰도,04:09:41,
1329,F,그란폰도,05:14:41,
1330,M,그란폰도,05:06:15,
1331,M,그란폰도,05:12:19,
1337,M,메디오폰도,03:36:40,
1338,M,그란폰도,05:45:24,
1339,M,그란폰도,05:30:50,
1340,M,그란폰도,05:44:52,
1341,M,그란폰도,05:39:01,
1342,M,메디오폰도,03:27:33,
1343,M,메디오폰도,04:11:37,
1344,M,메디오폰도,04:32:46,
1345,M,그란폰도,,DNF
1346,M,그란폰도,05:26:11,
1347,M,메디오폰도,04:57:07,
1348,M,그란폰도,05:43:58,
1349,M,그란폰도,05:08:36,
1350,M,그란폰도,,DNF
1351,F,그란폰도,04:53:40,
1353,M,그란폰도,04:28:29,
1354,M,그란폰도,,DNF
1355,F,메디오폰도,04:07:00,
1356,M,메디오폰도,03:53:04,
1357,M,그란폰도,06:15:38,
1358,M,그란폰도,06:24:45,
1363,M,그란폰도,05:44:48,
1364,M,메디오폰도,04:19:14,
1365,M,그란폰도,06:00:38,
1367,M,그란폰도,05:17:25,
1368,M,메디오폰도,03:33:41,
1369,M,그란폰도,06:08:34,
1370,M,메디오폰도,05:06:18,
1372,M,메디오폰도,04:45:50,
1375,M,그란폰도,05:28:21,
1376,M,그란폰도,06:04:55,
1379,M,그란폰도,05:21:07,
1381,M,그란폰도,04:55:23,
1383,M,그란폰도,06:25:19,
1384,M,그란폰도,05:09:26,
1387,M,그란폰도,05:21:02,
1389,M,그란폰도,05:57:05,
1390,M,그란폰도,05:39:41,
1392,M,그란폰도,05:37:54,
1393,M,그란폰도,06:11:09,
1394,F,메디오폰도,04:28:28,
1395,M,그란폰도,05:16:01,
1396,M,메디오폰도,04:12:17,
1397,M,메디오폰도,03:43:57,
1398,F,그란폰도,05:33:22,
1399,M,메디오폰도,04:19:10,
1400,M,메디오폰도,04:05:50,
1401,M,메디오폰도,04:37:20,
1402,M,메디오폰도,04:16:45,
1403,M,메디오폰도,04:28:24,
1404,M,그란폰도,05:23:39,
1405,M,메디오폰도,05:03:39,
1406,F,메디오폰도,03:41:40,
1407,M,그란폰도,05:47:51,
1408,M,메디오폰도,04:28:27,
1409,M,그란폰도,,DNF
1410,M,그란폰도,03:46:59,
1413,M,메디오폰도,04:32:05,
1414,F,그란폰도,05:10:15,
1416,M,그란폰도,05:49:12,
1417,M,그란폰도,05:33:54,
1418,F,메디오폰도,03:27:16,
1419,M,메디오폰도,03:45:19,
1420,M,그란폰도,06:20:45,
1421,F,그란폰도,04:33:39,
1422,M,메디오폰도,04:08:58,
1423,M,메디오폰도,04:19:51,
1425,M,그란폰도,05:10:25,
1426,M,그란폰도,06:38:07,
1427,M,메디오폰도,04:49:25,
1428,M,그란폰도,06:18:08,
1429,M,그란폰도,05:32:00,
1432,M,메디오폰도,04:36:47,
1433,M,메디오폰도,04:06:04,
1435,M,그란폰도,04:52:35,
1436,M,메디오폰도,04:09:52,
1438,M,그란폰도,05:53:27,
1439,M,메디오폰도,04:16:34,
1440,M,그란폰도,05:44:29,
1442,M,메디오폰도,04:13:28,
1443,M,그란폰도,06:27:51,
1446,M,그란폰도,05:15:11,
1447,M,그란폰도,04:28:35,
1448,M,그란폰도,04:04:43,
1449,M,메디오폰도,05:15:54,
1451,M,그란폰도,05:57:40,
1452,F,메디오폰도,05:25:10,
1453,M,그란폰도,05:56:56,
1456,M,그란폰도,05:58:06,
1458,M,그란폰도,05:52:26,
1459,M,메디오폰도,03:27:32,
1460,M,그란폰도,05:32:38,
1462,F,메디오폰도,03:55:39,
1463,M,그란폰도,,DNF
1464,M,그란폰도,05:02:11,
1465,M,그란폰도,04:31:43,
1466,F,메디오폰도,04:09:34,
1469,M,그란폰도,,DNF
1470,M,메디오폰도,03:34:52,
1471,M,메디오폰도,03:48:40,
1472,F,그란폰도,05:54:48,
1473,M,그란폰도,06:17:15,
1474,M,그란폰도,03:55:34,
1475,M,그란폰도,05:03:46,
1477,M,메디오폰도,04:17:49,
1478,M,메디오폰도,05:12:39,
1479,M,그란폰도,06:23:35,
1480,M,그란폰도,06:32:00,
1481,M,그란폰도,05:40:45,
1483,M,메디오폰도,03:55:40,
1484,M,그란폰도,,DNF
1486,M,그란폰도,05:25:19,
1487,M,그란폰도,05:36:41,
1488,M,메디오폰도,04:12:44,
1489,M,메디오폰도,04:16:28,
1492,M,그란폰도,07:02:58,
1493,M,메디오폰도,04:08:20,
1497,F,그란폰도,06:29:45,
1498,M,그란폰도,05:50:56,
1500,M,그란폰도,05:14:31,
1501,F,메디오폰도,03:52:35,
1502,M,그란폰도,05:53:29,
1503,M,그란폰도,06:06:09,
1504,M,메디오폰도,04:37:46,
1505,M,그란폰도,06:48:55,
1506,M,그란폰도,05:29:16,
1510,M,그란폰도,06:10:34,
1511,M,그란폰도,05:29:44,
1512,M,그란폰도,05:54:57,
1513,M,그란폰도,05:11:20,
1514,M,메디오폰도,03:26:15,
